case_id,arch,anchored,pose,noise,seed,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,gt_rotation_deg,gt_scale,theta_err_deg,scale_err,confidence,low_confidence_flag,ncc_peak,psr,n_tied,tie_break_used,uniqueness_score,theta_est,scale_est,subpixel_error,subpixel_method,mode_used,failure_mode,elapsed_ms,wall_ms,error
dram_anchored_pose-none_0000,dram,anchored,none,none,20260807,531.8194732184453,446.266375344203,,,,,0.0,10.0,,,,,,,,,,,,,,,,,,load: [Errno 2] No such file or directory: 'dataset/reference/dram_anchored_pose-none_0000.png'
dram_anchored_pose-none_0001,dram,anchored,none,none,20260808,127.76712372639233,709.0552582342465,,,,,0.0,10.0,,,,,,,,,,,,,,,,,,load: [Errno 2] No such file or directory: 'dataset/reference/dram_anchored_pose-none_0001.png'
dram_anchored_pose-none_0002,dram,anchored,none,none,20260809,863.977595873166,497.1548480905214,,,,,0.0,10.0,,,,,,,,,,,,,,,,,,load: [Errno 2] No such file or directory: 'dataset/reference/dram_anchored_pose-none_0002.png'
dram_anchored_pose-none_0003,dram,anchored,none,none,20260810,232.65846231244757,735.5809719729891,764.4400000013411,625.570000000298,543.0414512550035,0,0.0,10.0,0.0,0.0,0.0,1,0.9389549493789673,3.2214134388441646,30,True,0.0,0.0,10.0,0.4047439992427826,phase_cross_correlation,ambiguous,none,264.03679099166766,264.0395839989651,
dram_anchored_pose-none_0004,dram,anchored,none,none,20260811,503.24196628643364,564.1423323810496,503.24000000953674,564.1500000059605,0.007915725905331494,1,0.0,10.0,0.0,0.0,0.0,1,0.9429335594177246,3.28281481885082,30,True,0.0,0.0,10.0,0.27116143703460693,phase_cross_correlation,ambiguous,none,224.1427920089336,224.1458339995006,
dram_anchored_pose-none_0005,dram,anchored,none,none,20260812,422.4269067090371,119.43962208882554,520.4499999992549,511.55000000074506,404.17703458312803,0,0.0,10.0,0.0,0.0,0.0,1,0.9545029997825623,3.0843683120626153,30,True,0.0,0.0,10.0,0.38358983397483826,phase_cross_correlation,ambiguous,none,222.55825001047924,222.56033300072886,
dram_anchored_pose-none_0006,dram,anchored,none,none,20260813,822.5367760836219,100.19993813258809,435.6199999973178,506.47000000067055,561.0347179875009,0,0.0,10.0,0.0,0.0,0.0,1,0.9588161110877991,3.3492099864398206,30,True,0.0,0.0,10.0,0.31827512383461,phase_cross_correlation,ambiguous,none,225.86541700002272,225.8671249874169,
dram_anchored_pose-none_0007,dram,anchored,none,none,20260814,856.699548287331,361.4823588129435,513.3999999985099,361.47000000067055,343.29954851128025,0,0.0,10.0,0.0,0.0,0.0,1,0.9472520351409912,3.6489028866799935,30,True,0.0,0.0,10.0,0.31914979219436646,phase_cross_correlation,ambiguous,none,223.27333300199825,223.2752079871716,
dram_anchored_pose-none_0008,dram,anchored,none,none,20260815,91.47238092668637,905.5914305352696,176.40999999642372,837.6299999952316,108.78030692310176,0,0.0,10.0,0.0,0.0,0.0,1,0.9322748780250549,3.155263675621689,30,True,0.0,0.0,10.0,0.49959033727645874,phase_cross_correlation,ambiguous,none,221.86104200955015,221.86270800011698,
dram_anchored_pose-small_0009,dram,anchored,small,none,20260816,533.4204479498359,472.60486016751605,533.4099999964237,472.60999999940395,0.011643779555558122,1,-3.6240381070937513,10.180530510537992,3.6240381070937513,-0.18053051053799152,0.0,1,0.5238604545593262,2.57235360657965,30,True,0.0,0.0,10.0,0.5545727610588074,phase_cross_correlation,ambiguous,none,223.26195798814297,223.2637910055928,
dram_anchored_pose-small_0010,dram,anchored,small,none,20260817,157.23703385679948,695.5954428901074,483.5900000035763,560.480000000447,353.21727225614023,0,-2.9771870975681813,10.136643640649547,2.9771870975681813,-0.13664364064954704,0.0,1,0.6337025165557861,2.4754323812058447,30,True,0.0,0.0,10.0,0.5290175676345825,phase_cross_correlation,ambiguous,none,223.0556659924332,223.05762500036508,
dram_anchored_pose-small_0011,dram,anchored,small,none,20260818,140.4249198552512,277.6607457535418,416.4900000002235,541.519999999553,381.8817022674838,0,-0.9971327443851219,9.973021960498187,0.9971327443851219,0.0269780395018131,0.0,1,0.9017128944396973,3.4388185718210007,30,True,0.0,0.0,10.0,0.3755761981010437,phase_cross_correlation,ambiguous,none,222.81358399777673,222.81558299437165,
dram_anchored_pose-small_0012,dram,anchored,small,none,20260819,684.5194340465712,751.724293826315,547.5399999991059,474.4900000002235,309.22842531891456,0,1.5231630849854527,9.92157446625739,-1.5231630849854527,0.0784255337426103,0.0,1,0.853387176990509,3.3362516664859245,30,True,0.0,0.0,10.0,0.3962627351284027,phase_cross_correlation,ambiguous,none,223.07308300514705,223.07529200043064,
dram_anchored_pose-small_0013,dram,anchored,small,none,20260820,161.6499637080047,300.0920520366508,483.44999999925494,579.4499999992549,426.140970157678,0,-1.6726688018631442,9.757904865830433,1.6726688018631442,0.24209513416956696,0.0,1,0.7397400736808777,2.724869602805063,30,True,0.0,0.0,10.0,0.5137662291526794,phase_cross_correlation,ambiguous,none,224.9117499886779,224.9137500039069,
dram_anchored_pose-small_0014,dram,anchored,small,none,20260821,547.5929936804008,590.6119000312708,439.4900000002235,535.3700000047684,121.3998548646354,0,-3.871768602665372,10.170639298198507,3.871768602665372,-0.1706392981985072,0.0,1,0.47023189067840576,2.2708268133805314,30,True,0.0,0.0,10.0,0.6251192092895508,phase_cross_correlation,ambiguous,none,233.2707090099575,233.27275000337977,
dram_anchored_pose-small_0015,dram,anchored,small,none,20260822,296.0197864783282,168.46931836506195,478.6299999952316,523.5,399.24087338705414,0,0.6509611341112664,9.81819514442731,-0.6509611341112664,0.18180485557268966,0.0,1,0.882838249206543,2.8893806303051064,30,True,0.0,0.0,10.0,0.3964008688926697,phase_cross_correlation,ambiguous,none,227.41750000568572,227.41970799688715,
dram_anchored_pose-small_0016,dram,anchored,small,none,20260823,889.7587093779482,226.12496344009605,439.70000000298023,562.3800000026822,561.8009358286688,0,-4.587573327903267,9.805096565701708,4.587573327903267,0.1949034342982916,0.0,1,0.41589248180389404,2.1485782494232297,30,True,0.0,0.0,10.0,0.6666200757026672,phase_cross_correlation,ambiguous,none,225.54283300996758,225.5449999938719,
dram_anchored_pose-small_0017,dram,anchored,small,none,20260824,91.42183950224461,124.74985016225746,475.39000000059605,441.6199999973178,497.83354661270204,0,3.736185778121018,9.882699877094423,-3.736185778121018,0.11730012290557745,0.0,1,0.5668995976448059,2.6876963213940845,30,True,0.0,0.0,10.0,0.6050755381584167,phase_cross_correlation,ambiguous,none,227.35654099960811,227.35845799616072,
dram_anchored_pose-large_0018,dram,anchored,large,none,20260825,109.55062008414963,174.15086967780226,518.3199999928474,607.4900000002235,595.7140319142514,0,4.037934832200385,9.999629028678534,-4.037934832200385,0.0003709713214661292,0.0,1,0.5390394330024719,2.586434430321829,30,True,0.0,0.0,10.0,0.5416029691696167,phase_cross_correlation,ambiguous,none,223.7336249963846,223.73583300213795,
dram_anchored_pose-large_0019,dram,anchored,large,none,20260826,231.73725434383206,180.8854368150356,557.9399999976158,413.68000000715256,400.75121949143914,0,-5.44568965640986,9.890284741803937,5.44568965640986,0.1097152581960632,0.0,1,0.30503028631210327,1.8939997466986507,30,True,0.0,0.0,10.0,0.7104188203811646,phase_cross_correlation,ambiguous,none,225.63241700117942,225.63420899678022,
