case_id,arch,anchored,pose,noise,stage,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,wall_ms
dram_anchored_pose-none_0000,dram,anchored,none,low,ncc,531.8194732184453,446.266375344203,531.5,446.5,0.3957822849750225,1,39.122459000282106
dram_anchored_pose-none_0000,dram,anchored,none,low,weighted,531.8194732184453,446.266375344203,531.5,446.5,0.3957822849750225,1,168.1310839994694
dram_anchored_pose-none_0000,dram,anchored,none,low,selected,531.8194732184453,446.266375344203,531.5,446.5,0.3957822849750225,1,171.5310010004032
dram_anchored_pose-none_0001,dram,anchored,none,low,ncc,127.76712372639233,709.0552582342465,127.5,709.5,0.518796996336025,1,32.65174999978626
dram_anchored_pose-none_0001,dram,anchored,none,low,weighted,127.76712372639233,709.0552582342465,127.5,709.5,0.518796996336025,1,158.78362500006915
dram_anchored_pose-none_0001,dram,anchored,none,low,selected,127.76712372639233,709.0552582342465,127.5,709.5,0.518796996336025,1,161.76325000014913
dram_anchored_pose-none_0002,dram,anchored,none,low,ncc,863.977595873166,497.1548480905214,863.5,497.5,0.5892602639597736,1,32.14033400035987
dram_anchored_pose-none_0002,dram,anchored,none,low,weighted,863.977595873166,497.1548480905214,863.5,497.5,0.5892602639597736,1,159.66958299941325
dram_anchored_pose-none_0002,dram,anchored,none,low,selected,863.977595873166,497.1548480905214,863.5,497.5,0.5892602639597736,1,162.65691599801357
dram_anchored_pose-none_0003,dram,anchored,none,low,ncc,232.65846231244757,735.5809719729891,232.5,735.5,0.1779515801446599,1,31.98329100086994
dram_anchored_pose-none_0003,dram,anchored,none,low,weighted,232.65846231244757,735.5809719729891,232.5,735.5,0.1779515801446599,1,158.49170799992862
dram_anchored_pose-none_0003,dram,anchored,none,low,selected,232.65846231244757,735.5809719729891,232.5,735.5,0.1779515801446599,1,161.37204199912958
dram_anchored_pose-none_0004,dram,anchored,none,low,ncc,503.24196628643364,564.1423323810496,503.5,564.5,0.44103007038349057,1,31.977125001503737
dram_anchored_pose-none_0004,dram,anchored,none,low,weighted,503.24196628643364,564.1423323810496,503.5,564.5,0.44103007038349057,1,158.05566699964402
dram_anchored_pose-none_0004,dram,anchored,none,low,selected,503.24196628643364,564.1423323810496,503.5,564.5,0.44103007038349057,1,160.973333999209
dram_anchored_pose-none_0005,dram,anchored,none,low,ncc,422.4269067090371,119.43962208882554,422.5,119.5,0.09480570310681685,1,32.23191700089956
dram_anchored_pose-none_0005,dram,anchored,none,low,weighted,422.4269067090371,119.43962208882554,422.5,119.5,0.09480570310681685,1,163.9158749985654
dram_anchored_pose-none_0005,dram,anchored,none,low,selected,422.4269067090371,119.43962208882554,422.5,119.5,0.09480570310681685,1,166.82183299781173
dram_anchored_pose-none_0006,dram,anchored,none,low,ncc,822.5367760836219,100.19993813258809,822.5,100.5,0.30230713620636107,1,32.45441699982621
dram_anchored_pose-none_0006,dram,anchored,none,low,weighted,822.5367760836219,100.19993813258809,822.5,100.5,0.30230713620636107,1,159.1225829997711
dram_anchored_pose-none_0006,dram,anchored,none,low,selected,822.5367760836219,100.19993813258809,822.5,100.5,0.30230713620636107,1,161.97749999992084
dram_anchored_pose-none_0007,dram,anchored,none,low,ncc,856.699548287331,361.4823588129435,856.5,361.5,0.20032655954093503,1,32.659000000421656
dram_anchored_pose-none_0007,dram,anchored,none,low,weighted,856.699548287331,361.4823588129435,856.5,361.5,0.20032655954093503,1,160.13958400071715
dram_anchored_pose-none_0007,dram,anchored,none,low,selected,856.699548287331,361.4823588129435,856.5,361.5,0.20032655954093503,1,163.03729200080852
dram_anchored_pose-none_0008,dram,anchored,none,low,ncc,91.47238092668637,905.5914305352696,91.5,905.5,0.09551102549128083,1,32.57070799918438
dram_anchored_pose-none_0008,dram,anchored,none,low,weighted,91.47238092668637,905.5914305352696,91.5,905.5,0.09551102549128083,1,159.90616700037208
dram_anchored_pose-none_0008,dram,anchored,none,low,selected,91.47238092668637,905.5914305352696,91.5,905.5,0.09551102549128083,1,162.77091700067103
dram_anchored_pose-none_0009,dram,anchored,none,medium,ncc,533.321272010387,472.6861558680793,533.5,472.5,0.2580653047030139,1,32.35475000110455
dram_anchored_pose-none_0009,dram,anchored,none,medium,weighted,533.321272010387,472.6861558680793,533.5,472.5,0.2580653047030139,1,164.08475000025646
dram_anchored_pose-none_0009,dram,anchored,none,medium,selected,533.321272010387,472.6861558680793,533.5,472.5,0.2580653047030139,1,167.635292000341
dram_anchored_pose-none_0010,dram,anchored,none,medium,ncc,158.01080438142,695.1538958053641,296.5,79.5,631.0380152759446,0,34.27874999943015
dram_anchored_pose-none_0010,dram,anchored,none,medium,weighted,158.01080438142,695.1538958053641,296.5,79.5,631.0380152759446,0,166.70608300046297
dram_anchored_pose-none_0010,dram,anchored,none,medium,selected,158.01080438142,695.1538958053641,296.5,79.5,631.0380152759446,0,169.72066600101243
dram_anchored_pose-none_0011,dram,anchored,none,medium,ncc,140.26158646501844,277.5597503670893,140.5,277.5,0.24578673688730487,1,33.221624998986954
dram_anchored_pose-none_0011,dram,anchored,none,medium,weighted,140.26158646501844,277.5597503670893,140.5,277.5,0.24578673688730487,1,164.08720800063747
dram_anchored_pose-none_0011,dram,anchored,none,medium,selected,140.26158646501844,277.5597503670893,140.5,277.5,0.24578673688730487,1,167.05412400006026
dram_anchored_pose-none_0012,dram,anchored,none,medium,ncc,684.7645661116504,752.0587068180689,320.5,623.5,386.28488868093604,0,33.37537500010512
dram_anchored_pose-none_0012,dram,anchored,none,medium,weighted,684.7645661116504,752.0587068180689,684.5,752.5,0.5145239545955934,1,162.2473749994242
dram_anchored_pose-none_0012,dram,anchored,none,medium,selected,684.7645661116504,752.0587068180689,684.5,752.5,0.5145239545955934,1,165.1476669976546
dram_anchored_pose-none_0013,dram,anchored,none,medium,ncc,160.2351067517593,299.2561096088492,584.5,328.5,425.27156590601106,0,32.69949999958044
dram_anchored_pose-none_0013,dram,anchored,none,medium,weighted,160.2351067517593,299.2561096088492,160.5,299.5,0.3600707650715204,1,160.81200000007811
dram_anchored_pose-none_0013,dram,anchored,none,medium,selected,160.2351067517593,299.2561096088492,160.5,299.5,0.3600707650715204,1,163.69416599991382
dram_anchored_pose-none_0014,dram,anchored,none,medium,ncc,547.4593473261813,590.3574518625045,547.5,590.5,0.148231614010138,1,32.29612500035728
dram_anchored_pose-none_0014,dram,anchored,none,medium,weighted,547.4593473261813,590.3574518625045,547.5,590.5,0.148231614010138,1,160.48337499887566
dram_anchored_pose-none_0014,dram,anchored,none,medium,selected,547.4593473261813,590.3574518625045,547.5,590.5,0.148231614010138,1,163.46229199916706
dram_anchored_pose-none_0015,dram,anchored,none,medium,ncc,295.38384333105387,167.43571485295203,295.5,167.5,0.13275899921150475,1,32.34204100044735
dram_anchored_pose-none_0015,dram,anchored,none,medium,weighted,295.38384333105387,167.43571485295203,295.5,167.5,0.13275899921150475,1,160.9146659993712
dram_anchored_pose-none_0015,dram,anchored,none,medium,selected,295.38384333105387,167.43571485295203,295.5,167.5,0.13275899921150475,1,163.80708199903893
dram_anchored_pose-none_0016,dram,anchored,none,medium,ncc,891.0634355628795,225.2081604976576,891.5,225.5,0.5251274158581196,1,32.394249999924796
dram_anchored_pose-none_0016,dram,anchored,none,medium,weighted,891.0634355628795,225.2081604976576,891.5,225.5,0.5251274158581196,1,160.32945799997833
dram_anchored_pose-none_0016,dram,anchored,none,medium,selected,891.0634355628795,225.2081604976576,891.5,225.5,0.5251274158581196,1,163.19954200116626
dram_anchored_pose-none_0017,dram,anchored,none,medium,ncc,90.6062556598273,124.00079407296602,90.5,124.5,0.5103888937184992,1,32.61216600003536
dram_anchored_pose-none_0017,dram,anchored,none,medium,weighted,90.6062556598273,124.00079407296602,90.5,124.5,0.5103888937184992,1,165.55816700019932
dram_anchored_pose-none_0017,dram,anchored,none,medium,selected,90.6062556598273,124.00079407296602,90.5,124.5,0.5103888937184992,1,178.20675099937944
dram_anchored_pose-none_0018,dram,anchored,none,high,ncc,109.54818884074346,174.1488406861064,109.5,174.5,0.35445031824843287,1,32.48387500025274
dram_anchored_pose-none_0018,dram,anchored,none,high,weighted,109.54818884074346,174.1488406861064,109.5,174.5,0.35445031824843287,1,158.20891600014875
dram_anchored_pose-none_0018,dram,anchored,none,high,selected,109.54818884074346,174.1488406861064,109.5,174.5,0.35445031824843287,1,161.0755830006383
dram_anchored_pose-none_0019,dram,anchored,none,high,ncc,231.23683679779344,180.29016024682034,231.5,180.5,0.336582223253266,1,31.97429200008628
dram_anchored_pose-none_0019,dram,anchored,none,high,weighted,231.23683679779344,180.29016024682034,231.5,180.5,0.336582223253266,1,159.79670799970336
dram_anchored_pose-none_0019,dram,anchored,none,high,selected,231.23683679779344,180.29016024682034,231.5,180.5,0.336582223253266,1,162.68554199996288
dram_anchored_pose-none_0020,dram,anchored,none,high,ncc,678.5219564311266,677.7955254860101,678.5,677.5,0.2963400036264374,1,32.5509169997531
dram_anchored_pose-none_0020,dram,anchored,none,high,weighted,678.5219564311266,677.7955254860101,678.5,677.5,0.2963400036264374,1,158.13387500020326
dram_anchored_pose-none_0020,dram,anchored,none,high,selected,678.5219564311266,677.7955254860101,678.5,677.5,0.2963400036264374,1,161.01845800039882
dram_anchored_pose-none_0021,dram,anchored,none,high,ncc,827.729954021984,494.08618833762546,305.5,247.5,577.519586816484,0,32.48912500021106
dram_anchored_pose-none_0021,dram,anchored,none,high,weighted,827.729954021984,494.08618833762546,813.5,450.5,45.850271594296316,0,159.20537499914644
dram_anchored_pose-none_0021,dram,anchored,none,high,selected,827.729954021984,494.08618833762546,813.5,450.5,45.850271594296316,0,162.10479099936492
dram_anchored_pose-none_0022,dram,anchored,none,high,ncc,662.9662488192854,419.7652230076761,662.5,419.5,0.5364058214503249,1,32.24079199935659
dram_anchored_pose-none_0022,dram,anchored,none,high,weighted,662.9662488192854,419.7652230076761,662.5,419.5,0.5364058214503249,1,159.01400000075228
dram_anchored_pose-none_0022,dram,anchored,none,high,selected,662.9662488192854,419.7652230076761,662.5,419.5,0.5364058214503249,1,161.89275000215275
dram_anchored_pose-none_0023,dram,anchored,none,high,ncc,213.50529312651278,378.59888955464135,213.5,378.5,0.09903111231044551,1,31.938042000547284
dram_anchored_pose-none_0023,dram,anchored,none,high,weighted,213.50529312651278,378.59888955464135,213.5,378.5,0.09903111231044551,1,159.0053750005609
dram_anchored_pose-none_0023,dram,anchored,none,high,selected,213.50529312651278,378.59888955464135,213.5,378.5,0.09903111231044551,1,161.88612500081945
dram_anchored_pose-none_0024,dram,anchored,none,high,ncc,499.15651337698955,907.5884994850786,499.5,907.5,0.3547044108075091,1,32.40075000030629
dram_anchored_pose-none_0024,dram,anchored,none,high,weighted,499.15651337698955,907.5884994850786,499.5,907.5,0.3547044108075091,1,158.14391700041597
dram_anchored_pose-none_0024,dram,anchored,none,high,selected,499.15651337698955,907.5884994850786,499.5,907.5,0.3547044108075091,1,161.0220839993417
dram_anchored_pose-none_0025,dram,anchored,none,high,ncc,546.4402498790027,512.5697836871215,546.5,512.5,0.09186860153203372,1,32.027375000325264
dram_anchored_pose-none_0025,dram,anchored,none,high,weighted,546.4402498790027,512.5697836871215,546.5,512.5,0.09186860153203372,1,159.87754199886695
dram_anchored_pose-none_0025,dram,anchored,none,high,selected,546.4402498790027,512.5697836871215,546.5,512.5,0.09186860153203372,1,163.0198749990086
dram_anchored_pose-none_0026,dram,anchored,none,high,ncc,483.36777765861353,86.48143187212058,483.5,86.5,0.13351974735845518,1,32.13175000018964
dram_anchored_pose-none_0026,dram,anchored,none,high,weighted,483.36777765861353,86.48143187212058,483.5,86.5,0.13351974735845518,1,160.07512500073062
dram_anchored_pose-none_0026,dram,anchored,none,high,selected,483.36777765861353,86.48143187212058,483.5,86.5,0.13351974735845518,1,162.97145900171017
dram_anchored_pose-small_0027,dram,anchored,small,low,ncc,224.039361168415,86.535944556148,224.5,86.5,0.4620391155309888,1,32.431958001325256
dram_anchored_pose-small_0027,dram,anchored,small,low,weighted,224.039361168415,86.535944556148,224.5,86.5,0.4620391155309888,1,157.86279100029788
dram_anchored_pose-small_0027,dram,anchored,small,low,selected,224.039361168415,86.535944556148,224.5,86.5,0.4620391155309888,1,160.73116600091453
dram_anchored_pose-small_0028,dram,anchored,small,low,ncc,134.3098489097896,145.70598015778063,134.5,145.5,0.2803306306980014,1,32.45075000086217
dram_anchored_pose-small_0028,dram,anchored,small,low,weighted,134.3098489097896,145.70598015778063,134.5,145.5,0.2803306306980014,1,162.83370899873262
dram_anchored_pose-small_0028,dram,anchored,small,low,selected,134.3098489097896,145.70598015778063,134.5,145.5,0.2803306306980014,1,165.78095899967593
dram_anchored_pose-small_0029,dram,anchored,small,low,ncc,694.5492442621131,808.474642587429,694.5,808.5,0.05538949109137475,1,32.03574999861303
dram_anchored_pose-small_0029,dram,anchored,small,low,weighted,694.5492442621131,808.474642587429,694.5,808.5,0.05538949109137475,1,158.59925000040676
dram_anchored_pose-small_0029,dram,anchored,small,low,selected,694.5492442621131,808.474642587429,694.5,808.5,0.05538949109137475,1,161.4795410005172
dram_anchored_pose-small_0030,dram,anchored,small,low,ncc,424.7729807558094,745.5237709618125,424.5,745.5,0.2740137800690944,1,32.1969579999859
dram_anchored_pose-small_0030,dram,anchored,small,low,weighted,424.7729807558094,745.5237709618125,424.5,745.5,0.2740137800690944,1,158.9276670001709
dram_anchored_pose-small_0030,dram,anchored,small,low,selected,424.7729807558094,745.5237709618125,424.5,745.5,0.2740137800690944,1,161.82733299865504
dram_anchored_pose-small_0031,dram,anchored,small,low,ncc,666.2059866841,667.0144132874726,49.5,940.5,674.6262966646829,0,32.07500000098662
dram_anchored_pose-small_0031,dram,anchored,small,low,weighted,666.2059866841,667.0144132874726,666.5,667.5,0.5676603608758017,1,158.06312499989872
dram_anchored_pose-small_0031,dram,anchored,small,low,selected,666.2059866841,667.0144132874726,666.5,667.5,0.5676603608758017,1,160.94770900053845
dram_anchored_pose-small_0032,dram,anchored,small,low,ncc,570.4252362077422,476.15252164997924,570.5,476.5,0.3554304831692504,1,31.97550000004412
dram_anchored_pose-small_0032,dram,anchored,small,low,weighted,570.4252362077422,476.15252164997924,570.5,476.5,0.3554304831692504,1,163.05437500159314
dram_anchored_pose-small_0032,dram,anchored,small,low,selected,570.4252362077422,476.15252164997924,570.5,476.5,0.3554304831692504,1,166.09366700140527
dram_anchored_pose-small_0033,dram,anchored,small,low,ncc,458.6866462973992,255.1685343678363,458.5,255.5,0.3804028202294482,1,33.51695800120069
dram_anchored_pose-small_0033,dram,anchored,small,low,weighted,458.6866462973992,255.1685343678363,458.5,255.5,0.3804028202294482,1,163.42654199979734
dram_anchored_pose-small_0033,dram,anchored,small,low,selected,458.6866462973992,255.1685343678363,458.5,255.5,0.3804028202294482,1,166.59525000068243
dram_anchored_pose-small_0034,dram,anchored,small,low,ncc,328.8916297670787,887.2243572961602,390.5,870.5,63.838040459637604,0,32.27983299984771
